执行时间(秒),请求次数,每秒请求数,最大响应时间(毫秒),最小响应时间(毫秒),平均响应时间(毫秒),最大TPS,最小TPS,平均TPS,50%请求响应时间(毫秒),90%请求响应时间(毫秒),95%请求响应时间(毫秒),99%请求响应时间(毫秒),每秒发送数据量(KB),每秒接收数据量(KB),慢请求数,慢请求率(%),错误请求数,错误请求率(%)
0.732(0),100,136.556(0),663.448(0),42.191(0),600.652(0),3236.616(0),205.828(0),227.346(0),611.649(0),640.202(0),646.968(0),658.053(0),2.35(0),17.59(0),99(0),99.00(0),0(0),0.00(0)
1.235(+0.503),100,80.996(-55.560),991.832(+328.384),2.173(-40.018),415.849(-184.803),37273.770(+34037.154),81.663(-124.165),194.772(-32.574),133.566(-478.083),951.579(+311.377),965.035(+318.067),986.541(+328.488),1.38(-0.970),10.31(-7.280),40(-59.000),40.00(-59.000),0(0.000),0.00(0.000)
1.177(-0.058),100,84.975(+3.979),998.831(+6.999),0.982(-1.191),190.340(-225.509),86532.727(+49258.957),85.075(+3.412),446.439(+251.667),75.335(-58.231),498.118(-453.461),982.932(+17.897),994.634(+8.093),1.47(+0.090),10.97(+0.660),26(-14.000),26.00(-14.000),0(0.000),0.00(0.000)
3.224(+2.047),100,31.018(-53.957),176.078(-822.753),36.715(+35.733),121.999(-68.341),844.828(-85687.899),176.160(+91.085),254.247(-192.192),131.838(+56.503),154.686(-343.432),162.015(-820.917),167.682(-826.952),0.54(-0.930),4.00(-6.970),0(-26.000),0.00(-26.000),0(0.000),0.00(0.000)
3.151(-0.073),100,31.735(+0.717),409.670(+233.592),18.101(-18.614),211.818(+89.819),1753.234(+908.406),77.466(-98.694),149.823(-104.424),175.578(+43.740),377.626(+222.940),383.169(+221.154),392.053(+224.371),0.55(+0.010),4.08(+0.080),48(+48.000),48.00(+48.000),0(0.000),0.00(0.000)
3.329(+0.178),100,30.041(-1.694),280.959(-128.711),18.080(-0.021),206.026(-5.792),1661.558(-91.676),106.923(+29.457),145.812(-4.011),235.307(+59.729),260.175(-117.451),262.642(-120.527),273.631(-118.422),0.52(-0.030),3.90(-0.180),80(+32.000),80.00(+32.000),0(0.000),0.00(0.000)
3.879(+0.550),100,25.777(-4.264),836.202(+555.243),34.686(+16.606),575.619(+369.593),743.151(-918.407),30.826(-76.097),44.781(-101.031),658.338(+423.031),790.107(+529.932),799.718(+537.076),818.232(+544.601),0.44(-0.080),3.28(-0.620),89(+9.000),89.00(+9.000),0(0.000),0.00(0.000)
3.302(-0.577),100,30.289(+4.512),755.676(-80.526),15.487(-19.199),191.955(-383.664),1955.761(+1212.610),40.082(+9.256),157.792(+113.011),191.703(-466.635),231.871(-558.236),238.291(-561.427),246.823(-571.409),0.52(+0.080),3.91(+0.630),40(-49.000),40.00(-49.000),0(0.000),0.00(0.000)
0.770(-2.532),100,129.862(+99.573),699.072(-56.604),386.812(+371.325),641.810(+449.855),335.724(-1620.037),185.764(+145.682),202.337(+44.545),649.955(+458.252),671.968(+440.097),683.12(+444.829),696.032(+449.209),2.25(+1.730),16.86(+12.950),100(+60.000),100.00(+60.000),0(0.000),0.00(0.000)
3.313(+2.543),100,30.185(-99.677),376.874(-322.198),29.722(-357.090),270.421(-371.389),1015.594(+679.870),80.094(-105.670),111.624(-90.713),251.016(-398.939),363.242(-308.726),367.055(-316.065),373.478(-322.554),0.52(-1.730),3.89(-12.970),91(-9.000),91.00(-9.000),0(0.000),0.00(0.000)
3.493(+0.180),100,28.632(-1.553),849.628(+472.754),14.258(-15.464),363.405(+92.984),2008.132(+992.538),33.699(-46.395),78.788(-32.836),388.643(+137.627),417.27(+54.028),426.022(+58.967),437.825(+64.347),0.49(-0.030),3.68(-0.210),92(+1.000),92.00(+1.000),0(0.000),0.00(0.000)
